GCSs_coordinate	N3E	Score
1553	10.180811442484366	3.977016
1905	28.440781900540667	6.6706898
2303	18.889400211697545	6.083814500000001
3654	20.73650979535498	5.8952773
4861	10.070996671465648	7.2705473
5488	9.260196016553992	8.4680465
5506	7.411854092465457	7.418064750000001
6306	11.915196952692643	7.662277899999999
11193	9.882281679218684	6.9137652
11269	15.454061330347562	4.78644385
11408	23.48495266937567	7.8612005
14374	10.964234892224543	8.731607499999999
14826	8.704293098741777	3.5327278
15380	22.72268122789918	6.627105
16590	7.553282634125096	6.2957209
17316	11.980124912686172	1.5375721
17328	10.911573032262368	2.6791552000000003
18849	20.8918312346553	5.06589225
18850	6.250405124090841	-1.58856695
18851	30.169187783558016	3.97498335
19077	10.221326434047402	0.814860225
20731	32.71330607141814	5.4169254
22556	16.700315944994202	-6.1412199
24114	14.074305674443996	7.71144315
24865	29.230862808113343	8.05750865
25448	10.87247313349379	5.86366125
26767	19.988903912616863	6.14640175
27075	9.114250286550124	-1.3262355
28523	10.899307265826536	4.8862798000000005
28903	8.973022272630265	2.4086521999999997
28958	8.756790289771821	9.354948
29027	31.889667682480802	7.62058915
30567	20.06228998854509	5.83775015
30703	13.235259331158147	4.803541900000001
37999	12.144119948021274	6.9108896
40276	9.2734100040127	-2.2341217
42627	10.083803811045561	3.0213330000000003
44092	17.19770514275755	7.4579653
44218	5.506749893094183	5.77352725
44247	16.208847857627255	4.87243825
45522	7.834230812417812	9.6514425
47398	16.855096765881644	5.62051795
50612	6.966727077539385	5.1221445
50864	11.47872557356176	6.09256335
51314	11.962330945757971	5.238527299999999
52405	16.10779249517151	7.2017255
53440	16.79239962399651	0.30531085
54026	10.364355216168661	6.12478965
56205	7.90763564687129	5.5150655
57398	27.3928341519815	6.344526
59418	15.27508342672367	8.2457615
61631	11.211410561259452	5.1191580000000005
61860	9.973316726933902	3.69479225
61899	6.323193327989323	3.86804375
62036	13.343925210213067	2.7611891
62469	7.474025492506474	-2.25605265
62694	12.407973277476648	6.88151135
74266	8.841377193187181	5.9100311
76549	14.805974184982027	8.03945115
87593	11.718975593995514	6.77979255
88585	7.749369013342374	6.0053123500000005
90198	10.34932787263813	8.663761000000001
90980	12.190613660550962	2.5007563
91663	8.550299425623601	5.5237761
94001	18.950236295308308	3.6736644
96120	12.039152765804689	7.34199235
97128	18.315477508156462	6.3161453
98010	15.822619031011033	5.6709863
101571	11.699639844349463	6.1252933
102264	8.866623385688436	6.3190503
103924	15.194657833957617	3.023301
107068	11.767709179087456	0.8429693500000001
108554	13.51204982651118	4.5870577
110488	15.702315561082159	6.5495848500000005
110969	12.190943667784774	3.0376358000000003
112061	12.137178930806678	6.18329325
113028	9.595349786339856	-0.5569100849999999
115324	6.965073435035612	5.53062675
115908	9.042368399511123	1.73154397
116006	5.494958560305946	5.3410118
118316	11.43073968554449	2.4494192999999997
118462	31.825016411554753	7.4184025
121047	11.344055480344213	8.032947
126672	19.16024705518464	5.33835295
129766	23.383905784293496	5.9107294
133789	8.689217706488265	5.956910150000001
138219	21.374513618300853	4.7998579
